Hour Index,Sessions_2_5_2017,Sessions_1_29_2017,Sessions_1_22_2017,Sessions_1_15_2017,Sessions_1_8_2017,Sessions_1_1_2017,Sessions_2_5_2016,Sessions_2_1_2015
0,0.024237386531560063,0.01990471839718071,0.023425209861854715,0.02339639687516608,0.02154417759245152,0.025756029435462208,0.02573725699569736,0.02505394389834572
1,0.013695376820772643,0.011903674215232005,0.013933505188710423,0.012847425200616465,0.01257634684522139,0.018424021056024063,0.015593103231682419,0.014145288899544474
2,0.009314967278868486,0.007987991907589897,0.008315156322294931,0.008343519158208005,0.008206032904320863,0.01231401407315894,0.009139160202254953,0.008431231519220013
3,0.006649778340721977,0.005664687071722248,0.005869522109855245,0.006882074719668386,0.006642342595191318,0.007842294676908203,0.007254797273954962,0.005853911931591145
4,0.00617479417352755,0.00548195523069895,0.005539031000066098,0.006111494924802042,0.00598746374777809,0.00619057850351829,0.006155585565779969,0.0059538080396387754
5,0.007810850749419463,0.007726946420413756,0.007191486549011831,0.007719083807195621,0.0072571268192935315,0.006687436214212817,0.007239094249552461,0.008131543195077121
6,0.013668988811484064,0.012960908438295372,0.01148787097627074,0.012036987830153585,0.011627440760194058,0.010326583230380834,0.013677334254577428,0.012806681051706223
7,0.028749736119907124,0.025478039548391302,0.02409941172582457,0.02388797364085668,0.023147962524892082,0.02047859483267981,0.02897208002261235,0.026971949172860225
8,0.05264407853071564,0.04663577628401749,0.04505254808645647,0.04323218366370835,0.04252703045854885,0.037814900359886126,0.05467793096950471,0.050427555342443864
9,0.06546865104496519,0.059975200678718275,0.059303324740564475,0.05758091087846097,0.05734867620918701,0.05423806198635656,0.06904619829779216,0.06842883401262688
10,0.0724614735064387,0.06827644717091952,0.06802829003899795,0.06846202901631505,0.06702484530157839,0.0664580759520868,0.07182563361703463,0.07262447055062735
11,0.0711684610512983,0.0696860928016707,0.07014343314164849,0.06963118456714674,0.06898948184381808,0.06960036525756029,0.07411827517979962,0.07216494845360824
12,0.07098374498627825,0.06894211316321869,0.06901976336836539,0.06948504012329278,0.06834796787084185,0.0707149379599291,0.07278351810558713,0.07380324462558939
13,0.06937407641967491,0.06751941525810873,0.06801507039460639,0.0674523037678695,0.06824104887534582,0.0692646505881721,0.06708332024747965,0.06764964436985535
14,0.06400411652944903,0.06334268746329047,0.06509352898407032,0.06512727852473828,0.0661962230864841,0.06413493043992051,0.06373857604974716,0.06135618956285462
15,0.06087713742875238,0.06366899432226067,0.06296516623702822,0.0628421108572036,0.06455234353073253,0.060254068861792985,0.06044094092522219,0.05909853752097818
16,0.05140384209415243,0.06030150753768844,0.06096899993390178,0.06160652601371102,0.06071662456731219,0.06124778428318204,0.04743883671995225,0.04627187724766243
17,0.046733164450073895,0.05996214840435946,0.058549805010245225,0.05735505128341394,0.059139569383745635,0.058051780630606425,0.04257089915517728,0.04475345640533845
18,0.04376451340510872,0.055811525158258816,0.05503337960208871,0.05792634320029761,0.05490290418721516,0.058212923671912775,0.04467510442511227,0.04603212658834812
19,0.04745883470550982,0.05522417281211251,0.05523167426796219,0.056398469469097094,0.05452868770297903,0.054654348176397916,0.04487924374234477,0.04551266682650044
20,0.04781507283090564,0.05344906349931475,0.052058959613986384,0.049131104851995545,0.054368309209734976,0.05183434495353709,0.045271819352407275,0.053244625589387036
21,0.05641756385898248,0.04809763101220388,0.04838389847313107,0.04850666950098316,0.05026529275757454,0.04795348337540957,0.05665651204421971,0.05943818428834013
22,0.042141650833861094,0.03806043203028128,0.03760988829400489,0.03832970186533455,0.04044211004637612,0.03986947413654187,0.044125498571024775,0.042835451130823946
23,0.026981739497572307,0.02393787117405208,0.024681076079053472,0.025708136259765108,0.025419991179182876,0.02767631734436268,0.026899280801482357,0.029009829777031888
